,City,State,Country,location
0,Prospect,OR,USA,"Prospect,OR,USA"
1,Arizona City,AZ,USA,"Arizona City,AZ,USA"
2,Arizona City,AZ,USA,"Arizona City,AZ,USA"
3,Sevierville,TN,USA,"Sevierville,TN,USA"
4,Cornelius,OR,USA,"Cornelius,OR,USA"
5,Royal Palm Beach,FL,USA,"Royal Palm Beach,FL,USA"
6,York,PA,USA,"York,PA,USA"
7,Blaine Lake (Canada),SK,Canada,"Blaine Lake (Canada),SK,Canada"
8,Jonesboro,AR,USA,"Jonesboro,AR,USA"
9,Buckhannon,WV,USA,"Buckhannon,WV,USA"
10,Mesa,AZ,USA,"Mesa,AZ,USA"
11,Hartland,ME,USA,"Hartland,ME,USA"
12,Monson,MA,USA,"Monson,MA,USA"
13,Lemasters,PA,USA,"Lemasters,PA,USA"
14,Barrie (Canada),ON,Canada,"Barrie (Canada),ON,Canada"
15,Boscawen,NH,USA,"Boscawen,NH,USA"
16,Framingham,MA,USA,"Framingham,MA,USA"
17,Wanaque,NY,USA,"Wanaque,NY,USA"
18,San Bernardino,CA,USA,"San Bernardino,CA,USA"
19,Leeds,ME,USA,"Leeds,ME,USA"
20,Bellevue,WA,USA,"Bellevue,WA,USA"
21,Concord,NH,USA,"Concord,NH,USA"
22,Tacoma/Graham,WA,USA,"Tacoma/Graham,WA,USA"
23,Garden Grove,CA,USA,"Garden Grove,CA,USA"
24,Sanford,FL,USA,"Sanford,FL,USA"
25,Janesville,WI,USA,"Janesville,WI,USA"
26,San Diego,CA,USA,"San Diego,CA,USA"
27,Brady,TX,USA,"Brady,TX,USA"
28,Cheektowaga,NY,USA,"Cheektowaga,NY,USA"
29,Peterborough (Canada),ON,Canada,"Peterborough (Canada),ON,Canada"
30,Newburgh,IN,USA,"Newburgh,IN,USA"
31,Oakdale,PA,USA,"Oakdale,PA,USA"
32,Littleton,CO,USA,"Littleton,CO,USA"
33,Bakersfield,CA,USA,"Bakersfield,CA,USA"
34,Melbourne,FL,USA,"Melbourne,FL,USA"
35,Coeur d'Alene,ID,USA,"Coeur d'Alene,ID,USA"
36,Warren,ME,USA,"Warren,ME,USA"
37,Colonial Heights,VA,USA,"Colonial Heights,VA,USA"
38,Varnville,SC,USA,"Varnville,SC,USA"
39,Anywhere (Canada),BC,Canada,"Anywhere (Canada),BC,Canada"
40,Palm Harbor,FL,USA,"Palm Harbor,FL,USA"
41,Longs,SC,USA,"Longs,SC,USA"
42,Okotoks (Canada),AB,Canada,"Okotoks (Canada),AB,Canada"
43,North Hollywood,CA,USA,"North Hollywood,CA,USA"
44,Davis,CA,USA,"Davis,CA,USA"
45,Deming,WA,USA,"Deming,WA,USA"
46,Natchitoches,LA,USA,"Natchitoches,LA,USA"
47,Shoreline,WA,USA,"Shoreline,WA,USA"
48,Benton City,,USA,"Benton City,USA"
49,Honolulu,HI,USA,"Honolulu,HI,USA"
50,Woodland,CA,USA,"Woodland,CA,USA"
51,N. Myrtle Beach,SC,USA,"N. Myrtle Beach,SC,USA"
52,Las Vegas,NV,USA,"Las Vegas,NV,USA"
53,Asheville,NC,USA,"Asheville,NC,USA"
54,Cork (City)(Ireland),,Ireland,"Cork (City)(Ireland),Ireland"
55,North Port,FL,USA,"North Port,FL,USA"
56,Valley City,ND,USA,"Valley City,ND,USA"
57,Green River,UT,USA,"Green River,UT,USA"
58,Royal Palm Beach,FL,USA,"Royal Palm Beach,FL,USA"
59,Grand Island,NY,USA,"Grand Island,NY,USA"
60,Fishersville,VA,USA,"Fishersville,VA,USA"
61,Bangor,ME,USA,"Bangor,ME,USA"
62,Lakewood,CA,USA,"Lakewood,CA,USA"
63,Meridian,ID,USA,"Meridian,ID,USA"
64,Jupiter,FL,USA,"Jupiter,FL,USA"
65,Rockvale,TN,USA,"Rockvale,TN,USA"
66,Weatherford,TX,USA,"Weatherford,TX,USA"
67,Oxford,MS,USA,"Oxford,MS,USA"
68,Fishers,IN,USA,"Fishers,IN,USA"
69,Newburgh,IN,USA,"Newburgh,IN,USA"
71,Phuket (Thailand),,Thailand,"Phuket (Thailand),Thailand"
72,Hazel Green,KY,USA,"Hazel Green,KY,USA"
73,Olympia,WA,USA,"Olympia,WA,USA"
74,Cochrane (Canada),AB,Canada,"Cochrane (Canada),AB,Canada"
75,Bushkill,PA,USA,"Bushkill,PA,USA"
76,Kenai,AK,USA,"Kenai,AK,USA"
77,Pasadena,TX,USA,"Pasadena,TX,USA"
78,Fairfax,CA,USA,"Fairfax,CA,USA"
79,Santa Rsoa,CA,USA,"Santa Rsoa,CA,USA"
80,Aynor,SC,USA,"Aynor,SC,USA"
81,Mobile,AL,USA,"Mobile,AL,USA"
82,Coral Springs,FL,USA,"Coral Springs,FL,USA"
83,Lawrenceville,GA,USA,"Lawrenceville,GA,USA"
84,Queen Charlotte Island,BC,Canada,"Queen Charlotte Island,BC,Canada"
85,Belfast (near)(Northern Ireland),,Yes,"Belfast (near)(Northern Ireland),Yes"
86,Peterborough (Canada),,Canada,"Peterborough (Canada),Canada"
87,Red Deer (Canada),AB,Canada,"Red Deer (Canada),AB,Canada"
88,Spencerville,IN,USA,"Spencerville,IN,USA"
89,Sanford,FL,USA,"Sanford,FL,USA"
90,Salt Lake City,UT,USA,"Salt Lake City,UT,USA"
91,Hyattsville,MD,USA,"Hyattsville,MD,USA"
92,Roosevelt,UT,USA,"Roosevelt,UT,USA"
93,Fort Lauderdale,FL,USA,"Fort Lauderdale,FL,USA"
94,Oklahoma City,OK,USA,"Oklahoma City,OK,USA"
95,Victoria (Canada),BC,Canada,"Victoria (Canada),BC,Canada"
96,LARKSPUR,AB,Canada,"LARKSPUR,AB,Canada"
97,Debolt (Canada),AB,Canada,"Debolt (Canada),AB,Canada"
98,Manchester,CT,USA,"Manchester,CT,USA"
99,Gorham,NH,USA,"Gorham,NH,USA"
100,Rotonda West,FL,USA,"Rotonda West,FL,USA"
101,Cambridge,OH,USA,"Cambridge,OH,USA"
102,St. Louis,MO,USA,"St. Louis,MO,USA"
103,Valley City,ND,USA,"Valley City,ND,USA"
104,Pawtucket,RI,USA,"Pawtucket,RI,USA"
105,Tampa,FL,USA,"Tampa,FL,USA"
106,Las Vegas,NV,USA,"Las Vegas,NV,USA"
107,Waimanalo,HI,USA,"Waimanalo,HI,USA"
108,Marin County,CA,USA,"Marin County,CA,USA"
109,Lufkin,TX,USA,"Lufkin,TX,USA"
110,Memramcook (Canada),NB,Canada,"Memramcook (Canada),NB,Canada"
111,Santa Fe,NM,USA,"Santa Fe,NM,USA"
112,Fort Lauderdale,FL,USA,"Fort Lauderdale,FL,USA"
113,Farmington Hills,MI,USA,"Farmington Hills,MI,USA"
114,Wilmington,DE,USA,"Wilmington,DE,USA"
115,Toronto (Canada),ON,Canada,"Toronto (Canada),ON,Canada"
116,Mt. Vernon,IN,USA,"Mt. Vernon,IN,USA"
117,Amargosa Valley,NV,USA,"Amargosa Valley,NV,USA"
118,Williamsport,PA,USA,"Williamsport,PA,USA"
119,Plymouth Township,MI,USA,"Plymouth Township,MI,USA"
120,Valley City,ND,USA,"Valley City,ND,USA"
121,Blackwood,NJ,USA,"Blackwood,NJ,USA"
122,North Andover,MA,USA,"North Andover,MA,USA"
123,Ripley,TN,USA,"Ripley,TN,USA"
124,Corpus Christi,TX,USA,"Corpus Christi,TX,USA"
125,Battle Creek,MI,USA,"Battle Creek,MI,USA"
126,Rosedale,MD,USA,"Rosedale,MD,USA"
127,San Francisco,CA,USA,"San Francisco,CA,USA"
128,Dalzell,SC,USA,"Dalzell,SC,USA"
129,Warren,RI,USA,"Warren,RI,USA"
130,Huntsville,AL,USA,"Huntsville,AL,USA"
131,Port Charlotte,FL,USA,"Port Charlotte,FL,USA"
132,Bear,DE,USA,"Bear,DE,USA"
133,Evansville,IN,USA,"Evansville,IN,USA"
134,Ripon,CA,USA,"Ripon,CA,USA"
135,Largo,FL,USA,"Largo,FL,USA"
136,Fishersville,VA,USA,"Fishersville,VA,USA"
137,Pukalani,HI,USA,"Pukalani,HI,USA"
138,Baton Rouge,LA,USA,"Baton Rouge,LA,USA"
139,Jonesboro,AR,USA,"Jonesboro,AR,USA"
140,Mobile,AL,USA,"Mobile,AL,USA"
141,Siler City,NC,USA,"Siler City,NC,USA"
142,Siler city,NC,USA,"Siler city,NC,USA"
143,Tomkins Cove,NY,USA,"Tomkins Cove,NY,USA"
144,Peterhead (UK/Scotland),,United Kingdom,"Peterhead (UK/Scotland),United Kingdom"
145,Austin,TX,USA,"Austin,TX,USA"
146,Canyon Country,CA,USA,"Canyon Country,CA,USA"
147,Botkin,OH,USA,"Botkin,OH,USA"
148,Clarksville,TN,USA,"Clarksville,TN,USA"
149,Hutchinson,KS,USA,"Hutchinson,KS,USA"
150,Gouverneur,NY,USA,"Gouverneur,NY,USA"
151,Gouverneur,NY,USA,"Gouverneur,NY,USA"
152,Princeton,WV,USA,"Princeton,WV,USA"
153,Laurelville,OH,USA,"Laurelville,OH,USA"
154,Gilbert,AZ,USA,"Gilbert,AZ,USA"
155,Tirana (Albania),,Albania,"Tirana (Albania),Albania"
156,Knoxville,TN,USA,"Knoxville,TN,USA"
157,Sarasota,FL,USA,"Sarasota,FL,USA"
158,Henderson,NY,USA,"Henderson,NY,USA"
159,Lowell,IN,USA,"Lowell,IN,USA"
160,Detroit,MI,USA,"Detroit,MI,USA"
161,Old Westbury,NY,USA,"Old Westbury,NY,USA"
162,Temple City,CA,USA,"Temple City,CA,USA"
163,Fishers,IN,USA,"Fishers,IN,USA"
164,Ft. Worth,TX,USA,"Ft. Worth,TX,USA"
165,Ft. Worth,TX,USA,"Ft. Worth,TX,USA"
166,Hollywood,MD,USA,"Hollywood,MD,USA"
167,Cambridge,OH,USA,"Cambridge,OH,USA"
168,Sydney (Australia),,Australia,"Sydney (Australia),Australia"
169,Sydney (Australia),,Australia,"Sydney (Australia),Australia"
170,Royal Palm Beach,FL,USA,"Royal Palm Beach,FL,USA"
171,Schaghticoke,NY,USA,"Schaghticoke,NY,USA"
172,Laughlintown,PA,USA,"Laughlintown,PA,USA"
173,Dalzell,SC,USA,"Dalzell,SC,USA"
174,Mountlake Terrace,WA,USA,"Mountlake Terrace,WA,USA"
175,Centennial,CO,USA,"Centennial,CO,USA"
176,Worthing,SD,USA,"Worthing,SD,USA"
177,Coachella,CA,USA,"Coachella,CA,USA"
178,Avondale,AZ,USA,"Avondale,AZ,USA"
179,Brookings,SD,USA,"Brookings,SD,USA"
180,Evans,GA,USA,"Evans,GA,USA"
181,Boise,ID,USA,"Boise,ID,USA"
182,Evansville,IN,USA,"Evansville,IN,USA"
183,Pueblo,CO,USA,"Pueblo,CO,USA"
184,Newburgh,IN,USA,"Newburgh,IN,USA"
185,Santa Claus,IN,USA,"Santa Claus,IN,USA"
186,La Mesa,CA,USA,"La Mesa,CA,USA"
187,Mt. Vernon,IN,USA,"Mt. Vernon,IN,USA"
188,Wilmington,NC,USA,"Wilmington,NC,USA"
189,Alamo,TX,USA,"Alamo,TX,USA"
190,Red Lodge,MT,USA,"Red Lodge,MT,USA"
191,Decaturville,TN,USA,"Decaturville,TN,USA"
192,Hartford,CT,USA,"Hartford,CT,USA"
193,Baldwin Hills Estates,CA,USA,"Baldwin Hills Estates,CA,USA"
194,Harrisonburg,VA,USA,"Harrisonburg,VA,USA"
195,Delhi,NY,USA,"Delhi,NY,USA"
196,Fairplain,WV,USA,"Fairplain,WV,USA"
197,Malone,NY,USA,"Malone,NY,USA"
198,Alburgh,VT,USA,"Alburgh,VT,USA"
199,Creedmoor/ Wake Forest,NC,USA,"Creedmoor/ Wake Forest,NC,USA"
200,Lansdowne (Canada),ON,Canada,"Lansdowne (Canada),ON,Canada"
201,Xenia,OH,USA,"Xenia,OH,USA"
202,Hawkesbury (Canada),ON,Canada,"Hawkesbury (Canada),ON,Canada"
203,Mesquite,NM,USA,"Mesquite,NM,USA"
204,Kamloops (Canada),BC,Canada,"Kamloops (Canada),BC,Canada"
