DateTime,City,State,Country,location
2021-09-30 22:50:00,Ocala,FL,USA,"Ocala,FL,USA"
2021-09-30 22:49:00,Atlanta,GA,USA,"Atlanta,GA,USA"
2021-09-30 21:45:00,Lakeland,GA,USA,"Lakeland,GA,USA"
2021-09-30 21:25:00,Grand Haven,MI,USA,"Grand Haven,MI,USA"
2021-09-30 20:59:00,Lewis Center,OH,USA,"Lewis Center,OH,USA"
2021-09-30 20:40:00,Fenton,MI,USA,"Fenton,MI,USA"
2021-09-30 20:30:00,Los Angeles,CA,USA,"Los Angeles,CA,USA"
2021-09-30 19:02:00,Franklin,KY,USA,"Franklin,KY,USA"
2021-09-30 16:18:00,Whittier,CA,USA,"Whittier,CA,USA"
2021-09-30 14:00:00,Tampa,FL,USA,"Tampa,FL,USA"
2021-09-30 00:08:00,Albany,NY,USA,"Albany,NY,USA"
2021-09-29 21:15:00,Miamisburg,OH,USA,"Miamisburg,OH,USA"
2021-09-29 17:58:00,Egg Harbor,NJ,USA,"Egg Harbor,NJ,USA"
2021-09-29 12:49:00,Newburgh,IN,USA,"Newburgh,IN,USA"
2021-09-29 05:50:00,Nanuet,NY,USA,"Nanuet,NY,USA"
2021-09-29 01:00:00,Wittenberg,WI,USA,"Wittenberg,WI,USA"
2021-09-28 21:00:00,Cape Coral,FL,USA,"Cape Coral,FL,USA"
2021-09-28 20:10:00,Beacon,NY,USA,"Beacon,NY,USA"
2021-09-28 12:38:00,Garrettsville,OH,USA,"Garrettsville,OH,USA"
2021-09-28 04:52:00,Star Valley,AZ,USA,"Star Valley,AZ,USA"
2021-09-28 02:42:00,Corpus Christi,TX,USA,"Corpus Christi,TX,USA"
2021-09-28 00:00:00,Baldwin,NY,USA,"Baldwin,NY,USA"
2021-09-27 00:00:00,Essen (Germany),,Germany,"Essen (Germany),Germany"
2021-09-27 23:20:00,Devon,PA,USA,"Devon,PA,USA"
2021-09-27 23:09:00,Miami,FL,USA,"Miami,FL,USA"
2021-09-27 22:00:00,Blowing Rock,NC,USA,"Blowing Rock,NC,USA"
2021-09-27 20:05:00,Myrtle Beach,NC,USA,"Myrtle Beach,NC,USA"
