DateTime,City,State,Country,location,geocode,lat,long
2021-09-30 22:50:00,Ocala,FL,USA,"Ocala,FL,USA","(29.1871986, -82.14009229999999)",29.1871986,-82.14009229999999
2021-09-30 22:49:00,Atlanta,GA,USA,"Atlanta,GA,USA","(33.748752, -84.38768449999999)",33.748752,-84.38768449999999
2021-09-30 21:45:00,Lakeland,GA,USA,"Lakeland,GA,USA","(31.0410373, -83.0751471)",31.0410373,-83.0751471
2021-09-30 21:25:00,Grand Haven,MI,USA,"Grand Haven,MI,USA","(43.0630734, -86.22838639999999)",43.0630734,-86.22838639999999
2021-09-30 20:59:00,Lewis Center,OH,USA,"Lewis Center,OH,USA","(40.1983884, -83.0100987)",40.1983884,-83.0100987
2021-09-30 20:40:00,Fenton,MI,USA,"Fenton,MI,USA","(42.7978061, -83.7049498)",42.7978061,-83.7049498
2021-09-30 20:30:00,Los Angeles,CA,USA,"Los Angeles,CA,USA","(34.0522342, -118.2436849)",34.0522342,-118.2436849
2021-09-30 19:02:00,Franklin,KY,USA,"Franklin,KY,USA","(36.7187855, -86.5785573)",36.7187855,-86.5785573
2021-09-30 16:18:00,Whittier,CA,USA,"Whittier,CA,USA","(33.9791793, -118.032844)",33.9791793,-118.032844
2021-09-30 14:00:00,Tampa,FL,USA,"Tampa,FL,USA","(27.950575, -82.4571776)",27.950575,-82.4571776
2021-09-30 00:08:00,Albany,NY,USA,"Albany,NY,USA","(42.6525793, -73.7562317)",42.6525793,-73.7562317
2021-09-29 21:15:00,Miamisburg,OH,USA,"Miamisburg,OH,USA","(39.6428362, -84.2866083)",39.6428362,-84.2866083
2021-09-29 17:58:00,Egg Harbor,NJ,USA,"Egg Harbor,NJ,USA","(39.3822537, -74.6166192)",39.3822537,-74.6166192
2021-09-29 12:49:00,Newburgh,IN,USA,"Newburgh,IN,USA","(37.9444882, -87.4052865)",37.9444882,-87.4052865
2021-09-29 05:50:00,Nanuet,NY,USA,"Nanuet,NY,USA","(41.0887073, -74.01347299999999)",41.0887073,-74.01347299999999
2021-09-29 01:00:00,Wittenberg,WI,USA,"Wittenberg,WI,USA","(44.8271951, -89.1695568)",44.8271951,-89.1695568
2021-09-28 21:00:00,Cape Coral,FL,USA,"Cape Coral,FL,USA","(26.5628537, -81.9495331)",26.5628537,-81.9495331
2021-09-28 20:10:00,Beacon,NY,USA,"Beacon,NY,USA","(41.5048158, -73.9695832)",41.5048158,-73.9695832
2021-09-28 12:38:00,Garrettsville,OH,USA,"Garrettsville,OH,USA","(41.2842224, -81.0964856)",41.2842224,-81.0964856
2021-09-28 04:52:00,Star Valley,AZ,USA,"Star Valley,AZ,USA","(34.2550351, -111.2584672)",34.2550351,-111.2584672
2021-09-28 02:42:00,Corpus Christi,TX,USA,"Corpus Christi,TX,USA","(27.8005828, -97.39638099999999)",27.8005828,-97.39638099999999
2021-09-28 00:00:00,Baldwin,NY,USA,"Baldwin,NY,USA","(40.6686336, -73.6119129)",40.6686336,-73.6119129
2021-09-27 00:00:00,Essen (Germany),,Germany,"Essen (Germany),Germany","(51.4556432, 7.0115552)",51.4556432,7.0115552
2021-09-27 23:20:00,Devon,PA,USA,"Devon,PA,USA","(40.0499216, -75.4258399)",40.0499216,-75.4258399
2021-09-27 23:09:00,Miami,FL,USA,"Miami,FL,USA","(25.7616798, -80.1917902)",25.7616798,-80.1917902
2021-09-27 22:00:00,Blowing Rock,NC,USA,"Blowing Rock,NC,USA","(36.135129, -81.6776059)",36.135129,-81.6776059
2021-09-27 20:05:00,Myrtle Beach,NC,USA,"Myrtle Beach,NC,USA","(33.6890603, -78.8866943)",33.6890603,-78.8866943
2021-09-27 19:30:00,Princeton,WV,USA,"Princeton,WV,USA","(37.3662293, -81.1025918)",37.3662293,-81.1025918
2021-09-27 19:23:00,Tooele,UT,USA,"Tooele,UT,USA","(40.53077760000001, -112.29828)",40.53077760000001,-112.29828
2021-09-27 14:30:00,Manhattan Beach,CA,USA,"Manhattan Beach,CA,USA","(33.8847361, -118.4109089)",33.8847361,-118.4109089
2021-09-27 05:30:00,Bartlett,NH,USA,"Bartlett,NH,USA","(44.0738899, -71.2342866)",44.0738899,-71.2342866
2021-09-26 23:00:00,Auburn,MA,USA,"Auburn,MA,USA","(42.1945385, -71.8356271)",42.1945385,-71.8356271
