Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
12/31/20 23:30,Port St John,,USA,,5 minutes,Orange Fireball the size of a football glided noiselessly over our house towards the fields in the refuge area. It was slow and steady,1/19/21,
12/31/20 23:30,Damascus,MD,USA,Fireball,12:00,Red sphere transitions into an eye...,1/19/21,
12/31/20 23:10,Palm Springs,CA,USA,Formation,3 minutes,"4 orange lights , one behind the other. Then a 5th one going faster to catch up. One by one they all went dark.",1/19/21,
12/31/20 22:38,Caldwell,ID,USA,Circle,2 min,"Out back on my patio, my wife and i saw a very large orange orb floating through the sky. Got video and picture if it. It came up slowl",1/19/21,
12/31/20 22:30,Ashland,NH,USA,Sphere,10-15minutes,"Large, brightly glowing orange spheres, which moved in a pattern of hovering and rapid movement.",1/19/21,
12/31/20 22:30,Nazareth,PA,USA,Fireball,2 minutes,Pulsating orange orb in eastern sky,1/19/21,
12/31/20 21:20,Oak island,NC,USA,Light,3 min,Yellow light moving north over Oak Island NC,1/19/21,
12/31/20 21:15,Roseville,CA,USA,Light,5 minutes,Two Light Orbs Appear for 5 Minutes in Night Sky,1/19/21,
12/31/20 21:02,Seattle,WA,USA,Formation,3-5 minutes,V formation made up of three dots rose out of the tree-line and then quickly disappeared.,1/19/21,
12/31/20 21:00,Edmonton,AB,Canada,Formation,3-5,Three Orange Lights Triangle,1/19/21,
12/31/20 21:00,Tempe,AZ,USA,Oval,40 seconds,"orange light traveling east then slows, turns north and stops. 20 seconds later fades out",1/19/21,
12/31/20 20:50,Oakridge,OR,USA,Triangle,7 seconds,"Triangular-Egg shaped craft caught in still photo north of Klamath Falls, Or.",1/19/21,
12/31/20 20:00,dunstable,,United Kingdom,Changing,5mins felt longer guessin,lights seen in clouds asked them to unclock messing around but some crafts showed them self,9/9/22,
12/31/20 19:31,Florence,AZ,USA,Sphere,4 minutes,Glowing Sphere over roof tops at Merrill Ranch in Florence AZ,1/19/21,
12/31/20 19:00,Morro Bay,CA,USA,Other,2-3 mins,Morro bay orbs New Years Eve2020,1/19/21,
12/31/20 18:00,sellersville,PA,USA,Circle,6 minutes around,6-7 Orange/Red UFOs,1/19/21,
12/31/20 17:40,Surprise,AZ,USA,Cigar,1.22,White glowing tictac or cigar shaped craft spinning completely silent heading north in the surprise AZ sky,3/2/21,
12/31/20 17:00,Eagle Lake,ME,USA,Disk,40 Minutes,UFO In My Backyard On New Years Eve,1/19/21,
12/31/20 05:06,Helotes,TX,USA,,,MADAR Node 158,1/19/21,
12/31/20 04:33,Jonesboro,AR,USA,,,MADAR Node 143,1/19/21,
12/31/20 01:37,Orlando,FL,USA,Triangle,approximately one second,Green triangle rapidly and silently moving East,1/19/21,
12/30/20 22:37,Manchester,CT,USA,,,MADAR Node 151,1/19/21,
12/30/20 21:00,Castle Rock,CO,USA,Sphere,<10s,It was a silentl spherical orb of a dark color or transparently distorting the clouds behind it.,1/19/21,
12/30/20 20:45,Wellington,FL,USA,Light,30 minutes,numerous objects heading southeast in staggered formation of 2-3 each with as many as 6 within 60 degree arc traversing sky from northw,1/19/21,
12/30/20 19:52,Coral Gables,FL,USA,Sphere,5 minutes,Orange-reddish orb floating slowly heading West at about 400 feet making no sound,1/19/21,
12/29/20 23:00,Belleville,ON,Canada,Flash,Seconds to 1 Minute,4 Greenish Blue Blob-Like Objects Flashing Low In Southern Sky,1/19/21,
12/29/20 22:00,Spotsylvania,VA,USA,Flash,Every night for weeks,My name is ((deleted)) and for the last couple of weeks me and my wife and grandkids have been watching this flashing light in the ski.,1/19/21,
12/29/20 20:00,Port St. Lucie,FL,USA,Teardrop,3 min,At 20:00 pm on the 29th of Dec 2020. I heard a swishing sound coming from our side of my home . I went to investigate looking up,1/19/21,
12/29/20 20:00,McKees Rocks,PA,USA,Light,5 minutes,Red lights hovering above Pittsburgh suburbs.,1/19/21,
12/29/20 19:30,Dublin (Ireland),County Dublin,Ireland,Light,Not sure,"Several lights seen in the sky over dublin city, lights dud not seem to be moving but dissapeared",3/4/22,
12/29/20 16:27,Eatontown,NJ,USA,Sphere,30mins,"Small reflective orb flying over monmouth county, nj followed by several military jets.",1/19/21,
12/29/20 16:16,Oaklandon,IN,USA,,,MADAR Node 87,1/19/21,
12/29/20 16:05,Raleigh,NC,USA,Circle,5 seconds,I saw a large solid black circle next to a cloud parking my car. It was perfectly still and did not move. I continued to stare at it an,1/19/21,
12/29/20 12:11,Port Angeles,WA,USA,,,MADAR Node 49,1/19/21,
12/29/20 06:44,Farmington Hills,MI,USA,,,MADAR Node 144,1/19/21,
12/28/20 21:30,Garner,NC,USA,Light,20 minutes,Bight white orb moving fast but fluid in multiple direction in sky. Possibly saw another orb couldnt confirm.,1/19/21,
12/28/20 20:50,Henderson,NV,USA,Circle,4 minutes,3 low flying circular objects with flashing orange lights,1/19/21,
12/28/20 18:35,Oronoco,MN,USA,Fireball,2 hours,about 6:35pm I went out side with my little brother to use our Orion telescope to look at the moon and stars. We both saw and orange lo,1/19/21,
12/28/20 17:35,Beaverton,OR,USA,Triangle,20 Minutes,Triangle UFO westbound,1/19/21,
12/28/20 17:35,Hillsboro,OR,USA,Triangle,20 minutes,Truangle tracked for 20 minutes headed west,1/19/21,
12/28/20 17:35,Beaverton,OR,USA,Triangle,10 minutes,Triangle UFO moving west,1/19/21,
12/28/20 14:45,Tallahassee,FL,USA,Changing,5 min+,"3 bright white objects changed direction and shape formation, then merged into 1 oblong object",1/19/21,
12/28/20 14:00,Placentia,CA,USA,Unknown,2 seconds,Cluster bubble object in air.,1/19/21,
12/28/20 13:22,Marietta,GA,USA,Circle,,Bright circle light moving slowly then 30 seconds later it faded and disappeared.,1/19/21,
12/28/20 06:15,Marion,IA,USA,Light,4 min,Night red light with small white lights.,1/19/21,
12/27/20 22:20,La Plata,MD,USA,Sphere,5 seconds,A yellow sphere circle twice and the zoom out to disappear. It traveled from Northeast to the Southwest,1/19/21,
12/27/20 21:57,Vernal/Naples,UT,USA,Fireball,5 minutes,"we are looking west as we walk out toward the trucks from house as seen at the bottom of screen . It was coming at us going East, then",1/19/21,
12/27/20 19:15,Hensley,AR,USA,Formation,1 hour,"I noticed what I thought was a satellite in the sky above my house,my daughter pointed out that there were several others.they were mov",1/19/21,
12/27/20 19:00,Boone,NC,USA,Unknown,4 seconds,"Driving home probably 6-8 pm et. Saw a very bright white light (looked exactly like a bright star) fall straight downward. No tail, ext",1/19/21,
12/27/20 16:30,Outside of truth or consequences,NM,USA,Changing,8 minutes,Cigar shape object that changed shape to a fish like object and others to appear to have landing legs.,1/19/21,
12/27/20 15:43,Houston,TX,USA,,,MADAR Node 118,1/19/21,
12/27/20 04:00,Waco,GA,USA,Circle,1 hour,Blue red white pulsating orb moving at a high rate of speed across the sky and in figure 8 while blinking in and out,1/19/21,
12/27/20 03:43,Lords Valley,PA,USA,,,MADAR Node 44,1/19/21,
12/26/20 23:50,Waldron,AR,USA,Light,5 seconds,"It was a green light with a trail, traveling at an insane speed, I have seen shooting stars and this was not one of them.",1/19/21,
12/26/20 22:55,Bradenton,FL,USA,Fireball,7 min,5 red orbs,1/19/21,
