Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
4/30/20 00:00,Thibodaux,LA,USA,Light,5,"14 Objects in a row, one behind each other and watch one by one disappear. ((Starlink satellites?))",6/25/20,
4/30/20 23:49,Saint Petersburg,FL,USA,Other,7 minutes,There were three dots in a straight line slowly moving for a while then boom vanish!,6/25/20,
4/30/20 22:43,Edgewood,WA,USA,Unknown,15-20 seconds,"Location of sighting: Edgewood, WA Date: Thursday April 30th Time: 10:43 PM Weather conditions: clear and other stars visible On Thurs",6/25/20,
4/30/20 22:30,Vergas,MN,USA,Light,>2 hours,White moving light. ((NUFORC Note: Venus?? PD)),6/25/20,
4/30/20 22:00,Jacksonville,FL,USA,Light,5 minutes,"Looked like stars, could have been satellites, but 50? ((Starlink satellites?))",6/25/20,
4/30/20 22:00,Tavares,FL,USA,Formation,5 minutes,Fast moving formation of 20+ objects flying 2 abreast. ((Starlink satellites?)),6/25/20,
4/30/20 22:00,Lincoln,AL,USA,Other,10-15 minutes,Lights moving across the night sky. ((Starlink satellites?)),6/25/20,
4/30/20 22:00,Calgary (Canada),AB,Canada,Disk,<5 minutes,"At approximately 10:00pm, I spotted a large white light in the sky, it was very bright. I went outside to inspect it further and the li",6/25/20,
4/30/20 21:43,Miami,FL,USA,Unknown,00:15,Hovering bright light,6/25/20,
4/30/20 21:35,Montverde,FL,USA,Unknown,5 Minutes,West to East was a straight line of what appeared to be air craft of some sort. ((Starlink satellites?)),6/25/20,
4/30/20 21:30,Davie,FL,USA,Formation,3:00 Minutes,6 craft line formation over south Florida. ((Starlink satellites?)),6/25/20,
4/30/20 21:30,Redmond,WA,USA,Light,20 minutes,long string of moving lights. ((Starlink satellites?)),6/25/20,
4/30/20 21:30,Jacksonville,FL,USA,Light,2 minutes,There were 10-20 Star-like figures gliding across the sky in unison. ((Starlink satellites?)),6/25/20,
4/30/20 21:25,St. Cloud,FL,USA,Formation,5 to 10 minutes,Just outside and looked at the sky and there was a line of UFOs about 15 to 20 objects. ((Starlink satellites?)),6/25/20,
4/30/20 21:25,Jacksonville,FL,USA,Unknown,2 minutes,Lights moving astronomically fast around the sky they stopped moving and stood still for about 15 seconds and then zoomed off,6/25/20,
4/30/20 21:23,Tampa,FL,USA,Circle,5 min maybe,Atleast 20 circular objects flying in a straight line at the same speed. ((Starlink satellites?)),6/25/20,
4/30/20 21:20,Jupiter,FL,USA,Formation,5 minutes,string of lights. ((Starlink satellites?)),6/25/20,
4/30/20 21:20,Honolulu,HI,USA,Unknown,1 minute,I was shootimg darts in my carport and saw a military helicopter flyer way faster than usual. As it get closer to land i niticed a wh,6/25/20,
4/30/20 21:20,Deland,FL,USA,Light,5 minutes,there was A-line of lights moving a cross the sky. They were moving North to South. ((Starlink satellites?)),6/25/20,
4/30/20 21:15,Fort Myers,FL,USA,Rectangle,1 minute,"A line of line of lights 7 in front, 5 in the middle, and another 6 or 7 in front. ((Starlink satellites?))",6/25/20,
4/30/20 21:15,New Smyrna Beach,FL,USA,Light,20 seconds,Numerous lights flying across the sky in a straight line and equidistant. ((Starlink satellites?)),6/25/20,
4/30/20 21:15,Coral Springs,FL,USA,Light,3:00,It was a consistent line of moving lights evenly spaced. ((Starlink satellites?)),6/25/20,
4/30/20 21:15,Brooksville,FL,USA,Light,10,"Long string of 24+ equally spaced lights moving across the sky from North to South in Brooksville, FL.",6/25/20,
4/30/20 21:15,Coconut Creek,FL,USA,Formation,Less than a minute,Dots of light in a line formation slowly moved in a southwest upward motion and each disappeared as it looked to be going upward.,6/25/20,
4/30/20 21:10,Saint Augustine,FL,USA,Light,5 minutes,20 plus lights in single file. About 5 minutes viewing. Last 2 lights were side by side. ((Starlink satellites?)),6/25/20,
4/30/20 21:09,Des Moines,IA,USA,Disk,2 minutes,hovering saucer nears ground then disappears in sky,6/25/20,
4/30/20 21:05,Titusville,FL,USA,Light,12 minutes,Objects look like stars but moving fast in one line. ((Starlink satellites?)),6/25/20,
4/30/20 21:00,Ocala,FL,USA,Light,Varied,I went out to smoke i always watch the sky when i seen 6 white lights high in the sky flying 2x2 with 1 in the front lasted for about 1,6/25/20,
4/30/20 21:00,Dover,FL,USA,Light,5 minutes,String of lights in Tampa Bay area.. ((Starlink satellites?)),6/25/20,
4/30/20 21:00,Seabrook,TX,USA,Formation,2 minutes,19 fast flying silent UFOs in formation. ((Starlink satellites?)),6/25/20,
4/30/20 21:00,Palm Bay,FL,USA,Light,5 minutes,15 plus lights traveling in perfect straight line. Appeared as bright as a star.,6/25/20,
4/30/20 21:00,Coral Gables,FL,USA,Light,5 min,"A couple stopped me and told me ""Am I crazy or those lights are moving? ((Starlink satellites?))",6/25/20,
4/30/20 20:50,Baton Rouge,LA,USA,Formation,5 minutes,Line of light moving across the sky. ((Starlink satellites?)),6/25/20,
4/30/20 20:15,Clermont,FL,USA,Cigar,5 Minutes,I saw 20+ bright lights cross the sky to the West below the moon. ((Starlink satellites?)),6/25/20,
4/30/20 20:10,Truth or Consequences,NM,USA,Circle,10 seconds,Was visible to the north. Two large circular red lights. Moved from east to west. Both lights appeared and then they moved west one ov,6/25/20,
4/30/20 19:50,Roseburg,OR,USA,Oval,5 minutes,"We were driving and had to pull over, craft was moving slowly, was as white as light, we watched it zig zag slowly and then disappear o",6/25/20,
4/30/20 19:00,Pleasant view,UT,USA,Sphere,60 seconds,My girlfriend and I were hammocking in my back yard when we saw something we first thought was a weather ballon then changes shape into,6/25/20,
4/30/20 17:00,Micco,FL,USA,Light,5:00,"10-12 objects flying or moving symmetrically, moving south! All objects looked like stars! ((Starlink satellites?))",6/25/20,
4/30/20 17:00,Vancouver,WA,USA,Circle,5 minutes,"Saw 'white orb swarm' of 10-20 during the day, near Columbia River in Vancouver, WA on 4/30/20.",6/25/20,
4/30/20 14:30,American Fork,UT,USA,Changing,3 minutes,Stationary bright silver object hovering over mountain then vanished out of sight.,6/25/20,
4/30/20 14:22,American Utah,UT,USA,Light,3 minutes,Picture of the same UFO that they filmed at Skinwalker Ranch.,6/25/20,
4/30/20 13:13,Cottonwood Heights,UT,USA,,30 seconds,Hill AFB just did the Covid flyby to support our first responders. Took this picture on Ft. Union Blvd. looks like a foo fighter above.,5/7/20,
4/30/20 11:30,San Diego,CA,USA,Formation,5 minutes,Three objects in exact formation,6/25/20,
4/30/20 09:17,Orlando,FL,USA,Circle,3 minutes,There was circular lights flying in a straight line crossing the moon. ((Starlink satellites?)),6/25/20,
4/30/20 09:17,Davie,FL,USA,Light,3 minutes,Backyard UFO Fleet night sky sighting! ((Starlink satellites?)),6/25/20,
4/30/20 09:14,Tifton,GA,USA,Light,3 minutes,30+ dots of light flying ons behind the other in a straight line heading south east. ((Starlink satellites?)),6/25/20,
4/30/20 03:28,Boise,ID,USA,,,MADAR Node 111,6/25/20,
4/30/20 03:15,Clearwater,FL,USA,Other,30 minutes,Got up to 3:15am was attracted to look at a star like that suddenly went to a blinding bright envelope of bright light.,6/25/20,
4/30/20 02:30,Bloomington,IL,USA,Light,15 minutes,Spotted an indigo light to the east of the city. encounter lasted roughtly 15 minutes.,6/25/20,
4/30/20 00:11,El Paso,TX,USA,Unknown,10 seconds,"It was around 12:11 in the morning and I was just hanging out in my backyard with my dog. I saw an object flying very low, around 100 o",6/25/20,
4/30/20 00:11,Pueblo,CO,USA,,,MADAR Node 83,6/25/20,
4/30/20,Pompano Beach,FL,USA,Oval,10 minutes,I was looking to the West and all of a sudden by I think the planet Venus??? There was 12 lights flying parallel in a straight line for,6/25/20,
4/29/20 23:55,Tulsa,OK,USA,Circle,7seconds,Object appeared Southwest moving very very quick to the northeast. After the object made it a ways to the northeast it turn quite abrup,6/25/20,
4/29/20 23:35,Banning,CA,USA,Light,5 min,Driving down a dark road we spotted a helicopter chasing a light at high speeds,6/25/20,
4/29/20 23:20,Citrus Heights,CA,USA,Light,5 minutes,2 star objects appear then disappear while moving vertical into the sky.,6/25/20,
4/29/20 23:00,Midland,TX,USA,Sphere,10 minutes,Second sighting in 1 week. Strait line. Very high speed. Side observer also in sphere. Moving over 7.500 MPH. Saw by neighbor and us. S,6/25/20,
